phenotype	description	variable_type	source	n_non_missing	n_missing	n_controls	n_cases	PHESANT_transformation	notes
G54	Diagnoses - main ICD10: G54 Nerve root and plexus disorders	categorical	icd10	361194	0	361051	143	NA	NA
C21	Diagnoses - main ICD10: C21 Malignant neoplasm of anus and anal canal	categorical	icd10	361194	0	361055	139	NA	NA
F45	Diagnoses - main ICD10: F45 Somatoform disorders	categorical	icd10	361194	0	360953	241	NA	NA
I35	Diagnoses - main ICD10: I35 Nonrheumatic aortic valve disorders	categorical	icd10	361194	0	360293	901	NA	NA
D38	Diagnoses - main ICD10: D38 Neoplasm of uncertain or unknown behaviour of middle ear and respiratory and intrathoracic organs	categorical	icd10	361194	0	361087	107	NA	NA
C49	Diagnoses - main ICD10: C49 Malignant neoplasm of other connective and soft tissue	categorical	icd10	361194	0	360972	222	NA	NA
M05	Diagnoses - main ICD10: M05 Seropositive rheumatoid arthritis	categorical	icd10	361194	0	360906	288	NA	NA
N97	Diagnoses - main ICD10: N97 Female infertility	categorical	icd10	361194	0	360498	696	NA	NA
N64	Diagnoses - main ICD10: N64 Other disorders of breast	categorical	icd10	361194	0	360350	844	NA	NA
G35	Diagnoses - main ICD10: G35 Multiple sclerosis	categorical	icd10	361194	0	360628	566	NA	NA
K09	Diagnoses - main ICD10: K09 Cysts of oral region, not elsewhere classified	categorical	icd10	361194	0	360907	287	NA	NA
J84	Diagnoses - main ICD10: J84 Other interstitial pulmonary diseases	categorical	icd10	361194	0	360852	342	NA	NA
R49	Diagnoses - main ICD10: R49 Voice disturbances	categorical	icd10	361194	0	360629	565	NA	NA
H53	Diagnoses - main ICD10: H53 Visual disturbances	categorical	icd10	361194	0	360634	560	NA	NA
N47	Diagnoses - main ICD10: N47 Redundant prepuce, phimosis and paraphimosis	categorical	icd10	361194	0	359651	1543	NA	NA
Z31	Diagnoses - main ICD10: Z31 Procreative management	categorical	icd10	361194	0	361007	187	NA	NA
N72	Diagnoses - main ICD10: N72 Inflammatory disease of cervix uteri	categorical	icd10	361194	0	360824	370	NA	NA
R56	Diagnoses - main ICD10: R56 Convulsions, not elsewhere classified	categorical	icd10	361194	0	360117	1077	NA	NA
N63	Diagnoses - main ICD10: N63 Unspecified lump in breast	categorical	icd10	361194	0	359995	1199	NA	NA
R86	Diagnoses - main ICD10: R86 Abnormal findings in specimens from male genital organs	categorical	icd10	361194	0	361080	114	NA	NA
T14	Diagnoses - main ICD10: T14 Injury of unspecified body region	categorical	icd10	361194	0	361060	134	NA	NA
Q66	Diagnoses - main ICD10: Q66 Congenital deformities of feet	categorical	icd10	361194	0	361094	100	NA	NA
T42	Diagnoses - main ICD10: T42 Poisoning by antiepileptic, sedative-hypnotic and anti-Parkinsonism drugs	categorical	icd10	361194	0	360656	538	NA	NA
I95	Diagnoses - main ICD10: I95 Hypotension	categorical	icd10	361194	0	360628	566	NA	NA
N89	Diagnoses - main ICD10: N89 Other noninflammatory disorders of vagina	categorical	icd10	361194	0	360430	764	NA	NA
G81	Diagnoses - main ICD10: G81 Hemiplegia	categorical	icd10	361194	0	360903	291	NA	NA
M65	Diagnoses - main ICD10: M65 Synovitis and tenosynovitis	categorical	icd10	361194	0	358382	2812	NA	NA
L71	Diagnoses - main ICD10: L71 Rosacea	categorical	icd10	361194	0	361085	109	NA	NA
Z03	Diagnoses - main ICD10: Z03 Medical observation and evaluation for suspected diseases and conditions	categorical	icd10	361194	0	356243	4951	NA	NA
N81	Diagnoses - main ICD10: N81 Female genital prolapse	categorical	icd10	361194	0	353683	7511	NA	NA
D05	Diagnoses - main ICD10: D05 Carcinoma in situ of breast	categorical	icd10	361194	0	359740	1454	NA	NA
N02	Diagnoses - main ICD10: N02 Recurrent and persistent haematuria	categorical	icd10	361194	0	360725	469	NA	NA
J13	Diagnoses - main ICD10: J13 Pneumonia due to Streptococcus pneumoniae	categorical	icd10	361194	0	361025	169	NA	NA
O46	Diagnoses - main ICD10: O46 Antepartum haemorrhage, not elsewhere classified	categorical	icd10	361194	0	360741	453	NA	NA
L28	Diagnoses - main ICD10: L28 Lichen simplex chronicus and prurigo	categorical	icd10	361194	0	361072	122	NA	NA
